,work_year,experience_level,job_title,salary_in_usd,remote_ratio,company_location,company_size,is_abroad
541,2022,SE,Data Analyst,81666,100,US,M,False
542,2022,MI,Data Engineer,206699,0,US,M,False
543,2022,MI,Data Engineer,99100,0,US,M,False
544,2022,SE,Data Engineer,130000,100,US,M,False
545,2022,SE,Data Engineer,115000,100,US,M,False
546,2022,SE,Data Engineer,110500,100,US,M,False
547,2022,SE,Data Engineer,130000,100,US,M,False
548,2022,SE,Data Analyst,99050,100,US,M,False
549,2022,SE,Data Engineer,160000,100,US,M,False
550,2022,SE,Data Scientist,205300,0,US,L,False
552,2022,SE,Data Scientist,176000,100,US,M,False
553,2022,SE,Data Scientist,144000,100,US,M,False
554,2022,SE,Data Engineer,200100,100,US,M,False
555,2022,SE,Data Engineer,160000,100,US,M,False
556,2022,SE,Data Engineer,145000,100,US,M,False
557,2022,SE,Data Engineer,70500,0,US,M,False
558,2022,SE,Data Scientist,205300,0,US,M,False
559,2022,SE,Data Scientist,140400,0,US,M,False
560,2022,SE,Analytics Engineer,205300,0,US,M,False
561,2022,SE,Analytics Engineer,184700,0,US,M,False
562,2022,SE,Data Engineer,175100,100,US,M,False
563,2022,SE,Data Engineer,140250,100,US,M,False
564,2022,SE,Data Analyst,116150,100,US,M,False
565,2022,SE,Data Engineer,54000,0,US,M,False
566,2022,SE,Data Analyst,170000,100,US,M,False
567,2022,MI,Data Analyst,65438,0,GB,M,False
568,2022,SE,Data Analyst,80000,100,US,M,False
569,2022,SE,Data Scientist,140000,100,US,M,False
570,2022,SE,Data Scientist,210000,100,US,M,False
571,2022,SE,Data Scientist,140000,100,US,M,False
572,2022,SE,Data Analyst,100000,100,US,M,False
573,2022,SE,Data Analyst,69000,100,US,M,False
574,2022,SE,Data Scientist,210000,100,US,M,False
575,2022,SE,Data Scientist,140000,100,US,M,False
576,2022,SE,Data Scientist,210000,100,US,M,False
577,2022,SE,Data Analyst,150075,100,US,M,False
578,2022,SE,Data Engineer,100000,100,US,M,False
579,2022,SE,Data Engineer,25000,100,US,M,False
580,2022,SE,Data Analyst,126500,100,US,M,False
581,2022,SE,Data Analyst,106260,100,US,M,False
582,2022,SE,Data Engineer,220110,100,US,M,False
583,2022,SE,Data Engineer,160080,100,US,M,False
584,2022,SE,Data Analyst,105000,100,US,M,False
585,2022,SE,Data Analyst,110925,100,US,M,False
586,2022,MI,Data Analyst,45807,0,GB,M,False
587,2022,SE,Data Scientist,140000,100,US,M,False
588,2022,SE,Data Analyst,99000,0,US,M,False
589,2022,SE,Data Analyst,60000,100,US,M,False
590,2022,SE,Data Architect,192564,100,US,M,False
591,2022,SE,Data Architect,144854,100,US,M,False
592,2022,SE,Data Scientist,230000,100,US,M,False
593,2022,SE,Data Scientist,150000,100,US,M,False
594,2022,SE,Data Analytics Manager,150260,100,US,M,False
595,2022,SE,Data Analytics Manager,109280,100,US,M,False
596,2022,SE,Data Scientist,210000,100,US,M,False
597,2022,SE,Data Analyst,170000,100,US,M,False
598,2022,MI,Data Scientist,160000,100,US,M,False
599,2022,MI,Data Scientist,130000,100,US,M,False
600,2022,EN,Data Analyst,67000,0,CA,M,False
601,2022,EN,Data Analyst,52000,0,CA,M,False
602,2022,SE,Data Engineer,154000,100,US,M,False
603,2022,SE,Data Engineer,126000,100,US,M,False
604,2022,SE,Data Analyst,129000,0,US,M,False
605,2022,SE,Data Analyst,150000,100,US,M,False
606,2022,MI,AI Scientist,200000,100,US,L,True
